EnglishCountryRegionName,StateProvinceName,City,UnitPrice,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt
France,Yveline,Chatou,1315908.847,1300307.89,1.713,2.748,104.4201
Germany,Hessen,Frankfurt,682744.6497,706307.964,0.8565,1.374,86.3073
France,Nord,Roubaix,1315908.847,1300307.89,1.713,2.748,104.4201
United States,Connecticut,East Haven,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,Wyoming,Rock Springs,3929388.861,3834616.64,0.8565,1.374,126.3727
United Kingdom,England,Oxford,2754423.924,2723001.305,0.8565,1.374,97.2502
Australia,Queensland,Brisbane,767729.6402,806701.3793,1.713,2.748,74.4582
Canada,Alberta,Calgary,4869006.061,4778036.267,0.8565,1.374,100.5098
Germany,Nordrhein-Westfalen,Bottrop,682744.6497,706307.964,0.8565,1.374,86.3073
Canada,Ontario,North York,4869006.061,4778036.267,0.8565,1.374,100.5098
Australia,Victoria,Melton,767729.6402,806701.3793,1.713,2.748,74.4582
United States,Connecticut,Hamden,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,California,Stockton,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Utah,Bountiful,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,California,Burlingame,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,California,Pleasanton,6054471.746,5985742.289,0.8565,1.374,110.4206
Canada,British Columbia,Port Hammond,4869006.061,4778036.267,0.8565,1.374,100.5098
Canada,Ontario,Chalk Riber,4869006.061,4778036.267,0.8565,1.374,100.5098
France,Seine Saint Denis,Drancy,1315908.847,1300307.89,1.713,2.748,104.4201
United States,California,Gilroy,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,New York,Valley Stream,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,Utah,Riverton,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Colorado,Parker,2679790.109,2635645.227,0.8565,1.374,108.8232
Australia,New South Wales,Lavender Bay,767729.6402,806701.3793,1.713,2.748,74.4582
United States,Texas,Sugar Land,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,California,Auburn,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Montana,Billings,3929388.861,3834616.64,0.8565,1.374,126.3727
Canada,British Columbia,Westminster,9738012.121,9556072.533,0.8565,1.374,100.5098
United States,Arizona,Chandler,6054471.746,5985742.289,0.8565,1.374,110.4206
United Kingdom,England,Warrington,2754423.924,2723001.305,0.8565,1.374,97.2502
Germany,Hessen,Bad Soden,682744.6497,706307.964,0.8565,1.374,86.3073
United States,Washington,Kenmore,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,California,Carson,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Georgia,Columbus,2893853.571,2841382.846,0.8565,1.374,106.012
United Kingdom,England,Lancaster,1377211.962,1361500.652,0.8565,1.374,97.2502
United States,California,Union City,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Washington,Federal Way,3929388.861,3834616.64,0.8565,1.374,126.3727
Canada,Ontario,Toronto,19476024.24,19112145.07,0.8565,1.374,100.5098
United States,Washington,Edmonds,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Minnesota,Branch,2679790.109,2635645.227,0.8565,1.374,108.8232
Germany,Saarland,Kiel,682744.6497,706307.964,0.8565,1.374,86.3073
Germany,Brandenburg,Eilenburg,682744.6497,706307.964,0.8565,1.374,86.3073
United States,Texas,Irving,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Washington,Renton,3929388.861,3834616.64,0.8565,1.374,126.3727
Germany,Saarland,Poing,682744.6497,706307.964,0.8565,1.374,86.3073
United States,California,Vista,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,California,Grossmont,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,California,Culver City,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,New Hampshire,Nashua,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,Utah,Ogden,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Wyoming,Cheyenne,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Indiana,Fort Wayne,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,Texas,Stafford,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Florida,Lakeland,2893853.571,2841382.846,0.8565,1.374,106.012
United States,Texas,Arlington,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Missouri,Saint Louis,2679790.109,2635645.227,0.8565,1.374,108.8232
United States,California,La Jolla,6054471.746,5985742.289,0.8565,1.374,110.4206
Australia,Queensland,Gold Coast,767729.6402,806701.3793,1.713,2.748,74.4582
United States,California,Hayward,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Washington,Redmond,3929388.861,3834616.64,0.8565,1.374,126.3727
Australia,Queensland,Rockhampton,767729.6402,806701.3793,1.713,2.748,74.4582
France,Seine Saint Denis,Saint-Denis,1315908.847,1300307.89,1.713,2.748,104.4201
Canada,Ontario,Ottawa,19476024.24,19112145.07,0.8565,1.374,100.5098
United States,Massachusetts,Randolph,2475750.305,2443589.419,0.8565,1.374,95.4773
Australia,Queensland,East Brisbane,767729.6402,806701.3793,1.713,2.748,74.4582
Germany,Bayern,Erlangen,682744.6497,706307.964,0.8565,1.374,86.3073
Germany,Nordrhein-Westfalen,München,682744.6497,706307.964,0.8565,1.374,86.3073
Australia,South Australia,Cloverdale,767729.6402,806701.3793,1.713,2.748,74.4582
United States,Oregon,Albany,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,New York,Central Valley,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,Oregon,W. Linn,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Arizona,Phoenix,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Georgia,Suwanee,2893853.571,2841382.846,0.8565,1.374,106.012
United States,Texas,Dallas,6054471.746,5985742.289,0.8565,1.374,110.4206
Canada,Ontario,Kingston,4869006.061,4778036.267,0.8565,1.374,100.5098
Germany,Saarland,Offenbach,682744.6497,706307.964,0.8565,1.374,86.3073
Canada,British Columbia,Sooke,4869006.061,4778036.267,0.8565,1.374,100.5098
Germany,Saarland,Sulzbach Taunus,682744.6497,706307.964,0.8565,1.374,86.3073
United States,Georgia,La Grange,2893853.571,2841382.846,0.8565,1.374,106.012
France,Seine Saint Denis,Tremblay-en-France,1315908.847,1300307.89,1.713,2.748,104.4201
Germany,Saarland,Saarbrücken,682744.6497,706307.964,0.8565,1.374,86.3073
United States,Minnesota,Woodbury,2679790.109,2635645.227,0.8565,1.374,108.8232
Germany,Hessen,Berlin,2730978.599,2825231.856,0.8565,1.374,86.3073
United States,California,Coronado,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Texas,Baytown,6054471.746,5985742.289,0.8565,1.374,110.4206
Germany,Brandenburg,Berlin,682744.6497,706307.964,0.8565,1.374,86.3073
United States,Colorado,Loveland,2679790.109,2635645.227,0.8565,1.374,108.8232
United States,California,Alhambra,6054471.746,5985742.289,0.8565,1.374,110.4206
Canada,Quebec,Pnot-Rouge,4869006.061,4778036.267,0.8565,1.374,100.5098
United States,Texas,Hillsboro,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Washington,Kennewick,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,California,Eureka,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Oregon,Corvallis,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,New York,Ithaca,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,Florida,Tampa,2893853.571,2841382.846,0.8565,1.374,106.012
Canada,British Columbia,Metchosin,4869006.061,4778036.267,0.8565,1.374,100.5098
Australia,Queensland,Townsville,767729.6402,806701.3793,1.713,2.748,74.4582
United States,Washington,Newport Hills,3929388.861,3834616.64,0.8565,1.374,126.3727
Germany,Bayern,Grevenbroich,682744.6497,706307.964,0.8565,1.374,86.3073
United States,Indiana,South Bend,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,Washington,Kent,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Michigan,Madison Heights,2679790.109,2635645.227,0.8565,1.374,108.8232
Australia,Victoria,Seaford,767729.6402,806701.3793,1.713,2.748,74.4582
France,Garonne (Haute),Colomiers,1315908.847,1300307.89,1.713,2.748,104.4201
United States,Washington,Issaquah,3929388.861,3834616.64,0.8565,1.374,126.3727
Germany,Nordrhein-Westfalen,Leipzig,682744.6497,706307.964,0.8565,1.374,86.3073
United States,California,Imperial Beach,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,California,Escondido,6054471.746,5985742.289,0.8565,1.374,110.4206
France,Nord,Roncq,1315908.847,1300307.89,1.713,2.748,104.4201
United States,Indiana,Logansport,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,Colorado,Greeley,2679790.109,2635645.227,0.8565,1.374,108.8232
United Kingdom,England,Billericay,1377211.962,1361500.652,0.8565,1.374,97.2502
United States,Illinois,Peoria,2679790.109,2635645.227,0.8565,1.374,108.8232
United Kingdom,England,Oxon,1377211.962,1361500.652,0.8565,1.374,97.2502
Germany,Hamburg,Bonn,1365489.299,1412615.928,0.8565,1.374,86.3073
United States,Washington,Kelso,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,California,Santa Monica,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,California,Newark,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,North Carolina,Kannapolis,2893853.571,2841382.846,0.8565,1.374,106.012
United States,Wisconsin,Racine,2679790.109,2635645.227,0.8565,1.374,108.8232
United States,Texas,La Marque,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Illinois,Chicago,2679790.109,2635645.227,0.8565,1.374,108.8232
United States,Ohio,Columbus,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,Tennessee,Kingsport,2893853.571,2841382.846,0.8565,1.374,106.012
Germany,Hessen,Salzgitter,682744.6497,706307.964,0.8565,1.374,86.3073
Australia,Queensland,Hawthorne,767729.6402,806701.3793,1.713,2.748,74.4582
Germany,Hessen,Kassel,682744.6497,706307.964,0.8565,1.374,86.3073
Canada,Ontario,Vancouver,4869006.061,4778036.267,0.8565,1.374,100.5098
United States,Tennessee,Memphis,2893853.571,2841382.846,0.8565,1.374,106.012
United States,Arizona,Scottsdale,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Wisconsin,Milwaukee,2679790.109,2635645.227,0.8565,1.374,108.8232
United States,North Carolina,Rocky Mount,2893853.571,2841382.846,0.8565,1.374,106.012
Australia,Tasmania,Hobart,767729.6402,806701.3793,1.713,2.748,74.4582
United States,California,San Diego,6054471.746,5985742.289,0.8565,1.374,110.4206
United Kingdom,England,Leeds,1377211.962,1361500.652,0.8565,1.374,97.2502
Canada,Ontario,Richmond Hill,4869006.061,4778036.267,0.8565,1.374,100.5098
Germany,Saarland,Münster,682744.6497,706307.964,0.8565,1.374,86.3073
Germany,Saarland,Frankfurt am Main,1365489.299,1412615.928,0.8565,1.374,86.3073
Canada,British Columbia,N. Vancouver,4869006.061,4778036.267,0.8565,1.374,100.5098
France,Nord,Villeneuve-d'Ascq,1315908.847,1300307.89,1.713,2.748,104.4201
France,Hauts de Seine,Paris La Defense,1315908.847,1300307.89,1.713,2.748,104.4201
United States,Michigan,Westland,2679790.109,2635645.227,0.8565,1.374,108.8232
United States,Utah,Tooele,3929388.861,3834616.64,0.8565,1.374,126.3727
Germany,Hamburg,Augsburg,682744.6497,706307.964,0.8565,1.374,86.3073
United States,Florida,Vero Beach,2893853.571,2841382.846,0.8565,1.374,106.012
United States,Washington,Bellevue,3929388.861,3834616.64,0.8565,1.374,126.3727
Australia,New South Wales,Springwood,767729.6402,806701.3793,1.713,2.748,74.4582
United States,Alabama,Huntsville,2893853.571,2841382.846,0.8565,1.374,106.012
United States,California,Sacramento,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,California,San Gabriel,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Indiana,Michigan City,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,Montana,Missoula,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Florida,Sunrise,2893853.571,2841382.846,0.8565,1.374,106.012
United Kingdom,England,Kirkby,1377211.962,1361500.652,0.8565,1.374,97.2502
United States,Virginia,Newport News,2893853.571,2841382.846,0.8565,1.374,106.012
United States,California,Monrovia,6054471.746,5985742.289,0.8565,1.374,110.4206
Australia,New South Wales,Milsons Point,767729.6402,806701.3793,1.713,2.748,74.4582
Australia,New South Wales,Alexandria,767729.6402,806701.3793,1.713,2.748,74.4582
United States,Tennessee,Millington,2893853.571,2841382.846,0.8565,1.374,106.012
Germany,Hamburg,Hamburg,682744.6497,706307.964,0.8565,1.374,86.3073
Australia,South Australia,Perth,767729.6402,806701.3793,1.713,2.748,74.4582
Australia,New South Wales,North Sydney,767729.6402,806701.3793,1.713,2.748,74.4582
United Kingdom,England,London,19280967.47,19061009.13,0.8565,1.374,97.2502
United States,California,Barstow,6054471.746,5985742.289,0.8565,1.374,110.4206
Canada,Ontario,Aurora,4869006.061,4778036.267,0.8565,1.374,100.5098
United States,Indiana,New Castle,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,California,Vacaville,6054471.746,5985742.289,0.8565,1.374,110.4206
Germany,Hamburg,Mühlheim,682744.6497,706307.964,0.8565,1.374,86.3073
United States,Virginia,Virginia Beach,2893853.571,2841382.846,0.8565,1.374,106.012
Australia,New South Wales,Malabar,767729.6402,806701.3793,1.713,2.748,74.4582
United States,Michigan,Southgate,2679790.109,2635645.227,0.8565,1.374,108.8232
Germany,Hamburg,München,682744.6497,706307.964,0.8565,1.374,86.3073
Australia,New South Wales,Silverwater,767729.6402,806701.3793,1.713,2.748,74.4582
United States,New York,New York,2475750.305,2443589.419,0.8565,1.374,95.4773
Australia,New South Wales,Coffs Harbour,767729.6402,806701.3793,1.713,2.748,74.4582
United States,Washington,Spokane,3929388.861,3834616.64,0.8565,1.374,126.3727
France,Val d'Oise,Cergy,1315908.847,1300307.89,1.713,2.748,104.4201
United States,Tennessee,Pigeon Forge,2893853.571,2841382.846,0.8565,1.374,106.012
United States,South Dakota,Denby,2679790.109,2635645.227,0.8565,1.374,108.8232
United States,Georgia,Atlanta,2893853.571,2841382.846,0.8565,1.374,106.012
United States,California,Palo Alto,6054471.746,5985742.289,0.8565,1.374,110.4206
France,Hauts de Seine,Colombes,1315908.847,1300307.89,1.713,2.748,104.4201
Germany,Saarland,Neunkirchen,682744.6497,706307.964,0.8565,1.374,86.3073
Germany,Nordrhein-Westfalen,Werne,682744.6497,706307.964,0.8565,1.374,86.3073
United States,Minnesota,Medford,2679790.109,2635645.227,0.8565,1.374,108.8232
United Kingdom,England,York,4131635.885,4084501.957,0.8565,1.374,97.2502
Germany,Hamburg,Paderborn,682744.6497,706307.964,0.8565,1.374,86.3073
Canada,Quebec,Quebec,4869006.061,4778036.267,0.8565,1.374,100.5098
United States,Wyoming,Casper,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Florida,Orlando,2893853.571,2841382.846,0.8565,1.374,106.012
United States,New Mexico,Las Cruces,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,California,National City,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Texas,Garland,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,California,Sherman Oaks,6054471.746,5985742.289,0.8565,1.374,110.4206
Canada,Ontario,Weston,4869006.061,4778036.267,0.8565,1.374,100.5098
United Kingdom,England,Liverpool,1377211.962,1361500.652,0.8565,1.374,97.2502
United States,South Dakota,North Sioux City,2679790.109,2635645.227,0.8565,1.374,108.8232
United States,Florida,North Miami Beach,2893853.571,2841382.846,0.8565,1.374,106.012
United States,California,Newport Beach,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Washington,Lacey,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Oregon,Troutdale,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Ohio,Springdale,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,Washington,Sequim,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Oregon,Lake Oswego,3929388.861,3834616.64,0.8565,1.374,126.3727
Germany,Bayern,Augsburg,682744.6497,706307.964,0.8565,1.374,86.3073
United States,Colorado,Longmont,2679790.109,2635645.227,0.8565,1.374,108.8232
Germany,Hamburg,Ascheim,682744.6497,706307.964,0.8565,1.374,86.3073
United States,California,Novato,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Washington,North Bend,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Washington,Port Orchard,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Washington,Kirkland,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Georgia,Clarkston,2893853.571,2841382.846,0.8565,1.374,106.012
Germany,Nordrhein-Westfalen,Braunschweig,682744.6497,706307.964,0.8565,1.374,86.3073
Canada,Ontario,Mississauga,14607018.18,14334108.8,0.8565,1.374,100.5098
United States,California,San Carlos,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,California,Hanford,6054471.746,5985742.289,0.8565,1.374,110.4206
France,Charente-Maritime,Saint Ouen,1315908.847,1300307.89,1.713,2.748,104.4201
United States,California,Lemon Grove,6054471.746,5985742.289,0.8565,1.374,110.4206
Germany,Bayern,Hof,682744.6497,706307.964,0.8565,1.374,86.3073
Canada,Brunswick,Saint John,4869006.061,4778036.267,0.8565,1.374,100.5098
United States,Florida,Kendall,2893853.571,2841382.846,0.8565,1.374,106.012
United States,California,Colma,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Maryland,Baltimore,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,Oregon,Woodburn,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Montana,Great Falls,3929388.861,3834616.64,0.8565,1.374,126.3727
France,Essonne,Verrieres Le Buisson,1315908.847,1300307.89,1.713,2.748,104.4201
United States,California,Canoga Park,6054471.746,5985742.289,0.8565,1.374,110.4206
France,Yveline,Versailles,1315908.847,1300307.89,1.713,2.748,104.4201
Australia,Victoria,Bendigo,767729.6402,806701.3793,1.713,2.748,74.4582
United States,Washington,Woodinville,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,California,Torrance,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Oregon,Milwaukie,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,New Hampshire,Tilton,2475750.305,2443589.419,0.8565,1.374,95.4773
France,Seine Saint Denis,Pantin,1315908.847,1300307.89,1.713,2.748,104.4201
Australia,Victoria,Melbourne,767729.6402,806701.3793,1.713,2.748,74.4582
United States,North Carolina,Winston-Salem,2893853.571,2841382.846,0.8565,1.374,106.012
United States,California,Milpitas,6054471.746,5985742.289,0.8565,1.374,110.4206
